GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
MIR4749,microRNA 4749,0.0388407826164087,-4.25806723899941,0.714477868260125,0.475035428060207,0.627116203952752,Up
MIR676,microRNA 676,-0.0334637859891531,-5.67813492909887,-1.15020135279977,0.250231953221356,0.389344316122902,Down
DHODH,dihydroorotate dehydrogenase (quinone),0.0302276362240017,3.10158175826885,1.28847562957388,0.197765780064602,0.322907005963833,Up
MIR1179,microRNA 1179,-0.0427252118446373,-5.52144490307588,-1.11674820026613,0.264268819877564,0.405812692126158,Down
EXOSC3,exosome component 3,-0.0162801051295836,3.83685996943627,-1.34762088340164,0.177970163874303,0.296574259287933,Down
LOC107986883,uncharacterized LOC107986883,0.0327878925336839,-5.69060410672962,1.15690923705744,0.247481256969046,0.38599469121497,Up
LINC02371,long intergenic non-protein coding RNA 2371,-0.0288999467553698,-3.19624120042408,-0.444909113593601,0.656445308451124,0.773457927094511,Down
LOC105372180,uncharacterized LOC105372180,-0.0278730128220602,-2.07102650132463,-0.615907788209217,0.538042539220111,0.68291148581153,Down
LINC02812,long intergenic non-protein coding RNA 2812,0.0444007635002534,-3.02229069449003,0.45469666256593,0.64938885049961,0.768501048215449,Up
LINC01767,long intergenic non-protein coding RNA 1767,-0.0348157363681583,-2.74127251514077,-0.499480638596736,0.617509147107348,0.745883007960334,Down
PDCD6-DT,PDCD6 divergent transcript,0.0325314785104747,-1.36893206516482,0.726662701980425,0.467538360193243,0.620652365685697,Up
SGSM3-AS1,SGSM3 antisense RNA 1,0.0376697787539093,-0.186878560503518,0.902629852678875,0.36685754812988,0.521830658606499,Up
SNORD156,"small nucleolar RNA, C/D box 156",0.0615117810903826,-4.98422654307,0.968055230872873,0.333162345531923,0.484868440185726,Up
PSORS1C2,psoriasis susceptibility 1 candidate 2,0.0433218583168715,-3.84255059676399,0.56264975504361,0.573751826188022,0.712390592008828,Up
WNT2B,Wnt family member 2B,-0.0389339538505891,3.96382519171017,-1.35669126900166,0.175069734104061,0.292620165127834,Down
LOC107985253,uncharacterized LOC107985253,0.0451354849370905,-3.95241716103298,0.606398217969913,0.544335936885649,0.687883816900713,Up
OR52N4,olfactory receptor family 52 subfamily N member 4,-0.041836523388037,-3.56690222687265,-0.47609056943142,0.634074524086272,0.75725396769917,Down
LOC107985590,uncharacterized LOC107985590,0.0645291727199911,-4.79370042771959,0.90092867855567,0.367761136760285,0.522835055098855,Up
LOC102723994,uncharacterized LOC102723994,0.0613708951969167,-5.02815002512293,0.981312316204697,0.32658635165815,0.478054430590756,Up
NTAQ1,N-terminal glutamine amidase 1,0.0230922317221774,2.75702483374555,1.25708280074817,0.208906189560779,0.337292525838332,Up
FBXW4P1,F-box and WD repeat domain containing 4 pseudogene 1,0.0316683533486698,-0.379325470072934,0.874560477835384,0.381943684679568,0.537505880198093,Up
LOC105377763,uncharacterized LOC105377763,-0.027913138093853,-0.649402909829762,-0.838883509108557,0.401659355081019,0.557677671568061,Down
EEA1,early endosome antigen 1,-0.0248642637453557,6.12172638976628,-1.47722099732231,0.13981220094499,0.243810683100528,Down
LOC105373689,uncharacterized LOC105373689,0.030252374321892,-1.24243862735447,0.744752776519691,0.456530003240355,0.610132213542145,Up
LOC107986405,uncharacterized LOC107986405,0.0401588442303191,-5.59714641128107,1.14011976042673,0.254406179559299,0.394389674264842,Up
TTTY10,"testis expressed transcript, Y-linked 10",-0.0598765866017238,-3.16713798570382,-0.444483966185795,0.656752526032772,0.773657131473803,Down
MIR548I2,microRNA 548i-2,0.0469680746014744,-3.94598740610159,0.60120176016438,0.54779034037654,0.690985150008542,Up
USP12-DT,USP12 divergent transcript,-0.0548226042805322,-5.02211740042797,-0.963184370781272,0.335599809517193,0.487478902890253,Down
LOC284600,uncharacterized LOC284600,-0.0377591433785963,-2.56848294368723,-0.527332214245201,0.598035644264153,0.731357585208563,Down
LOC107984876,uncharacterized LOC107984876,-0.0395082115018004,-2.01816680944201,-0.623188556666796,0.533248986390777,0.678936880311838,Down
EEF1AKMT1,EEF1A lysine methyltransferase 1,-0.0266752946898333,1.28950409296155,-1.10156586654047,0.270815290480824,0.413703556718379,Down
ZBED4,zinc finger BED-type containing 4,0.0310617252052275,5.16713383767894,1.42679954826573,0.153831791758825,0.263520431231858,Up
C3orf38,chromosome 3 open reading frame 38,-0.0214547444727825,4.84541369318861,-1.4100559499385,0.158716531356438,0.270511281595079,Down
CCDC82,coiled-coil domain containing 82,-0.0231997708483232,4.43567237442212,-1.38573908513697,0.16601871963683,0.280396032616447,Down
KISS1,KiSS-1 metastasis suppressor,0.0479499102353523,-2.96861553973438,0.457092843079691,0.647666050095774,0.767015500874348,Up
LOC105370877,,-0.0481761281773191,3.27336244641238,-1.30387740060609,0.192461987922178,0.316134792108447,Down
LOC105376228,,-0.0480959248327518,-4.1041450905548,-0.637156594107313,0.524113537772079,0.671727847648777,Down
ASIC2,acid sensing ion channel subunit 2,-0.0629714622952559,-0.759890897431747,-0.823548117983525,0.410318474509454,0.566055495861476,Down
LOC103171574,uncharacterized LOC103171574,0.0243971554081035,-3.13939925134221,0.441445639519153,0.658949752536114,0.775051873837495,Up
